DMF_ID,High_Yield_ID,High_Yield,Simlarity
(6, 132, 54.0, array([[-0.05249119]]))
(6, 216, 61.0, array([[-0.09199417]]))
(6, 240, 54.0, array([[0.03041545]]))
(6, 254, 73.0, array([[-0.12181058]]))
(6, 255, 75.0, array([[-0.11877453]]))
(6, 336, 65.0, array([[-0.1028832]]))
(6, 338, 54.0, array([[-0.05921091]]))
(6, 339, 60.0, array([[-0.07618951]]))
(6, 341, 60.0, array([[-0.06959677]]))
(6, 345, 54.0, array([[-0.05687969]]))
(6, 348, 70.0, array([[-0.11918705]]))
(6, 357, 53.0, array([[-0.03801094]]))
(6, 960, 60.0, array([[-0.08558964]]))
(6, 1080, 73.0, array([[-0.11615864]]))
(6, 1092, 57.0, array([[-0.07631491]]))
(6, 1176, 52.0, array([[-0.0451996]]))
(6, 1200, 75.0, array([[-0.12881738]]))
(6, 1203, 66.0, array([[-0.10775842]]))
(6, 1296, 80.0, array([[-0.14528584]]))
(6, 1299, 74.0, array([[-0.12720911]]))
(6, 1308, 68.6, array([[-0.12184595]]))
(6, 1320, 61.0, array([[-0.09355411]]))
(6, 1440, 70.0, array([[-0.1048513]]))
(6, 1443, 67.0, array([[-0.09915852]]))
(6, 1452, 59.0, array([[-0.09346136]]))
(6, 1560, 56.0, array([[-0.11477606]]))
(6, 1572, 73.0, array([[-0.16001382]]))
(6, 1656, 66.0, array([[-0.11320859]]))
(6, 1680, 72.0, array([[-0.11515523]]))
(6, 1683, 52.0, array([[-0.042949]]))
(6, 1692, 66.0, array([[-0.10048959]]))
(6, 1776, 62.0, array([[-0.09963938]]))
(6, 1779, 51.0, array([[-0.02573611]]))
(7, 132, 54.0, array([[-0.38784375]]))
(7, 216, 61.0, array([[-0.41914617]]))
(7, 240, 54.0, array([[-0.29534867]]))
(7, 254, 73.0, array([[-0.42259554]]))
(7, 255, 75.0, array([[-0.41662007]]))
(7, 336, 65.0, array([[-0.4185566]]))
(7, 338, 54.0, array([[-0.39855305]]))
(7, 339, 60.0, array([[-0.40315888]]))
